region,statbel_building_type_code,dwelling_type,construction_period,source_profile_measure,source_profile_value,source_profile_share_within_type,target_2025_dwellings_archetype_type,regional_number_of_dwellings,joint_distribution_source,joint_distribution_method_detail,regionalisation_method,apartment_position_split_assumption
Brussels-Capital Region,R1,Terraced house,1971-1990,2025 cadastral buildings,2264.5,0.0219920558615,177028,3893.20966504,Statbel 2025 cadastral T3.* building counts jointly classified by R1-R3 building type and construction period,Known-period T3.* building counts are rebinned to TABULA periods; the 1982-1991 and 2002-2011 source bins are allocated uniformly across years at the 1990 and 2005 TABULA cut-offs. The resulting age profile is scaled to the region/type 2025 T8 dwelling total.,official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,
Brussels-Capital Region,R1,Terraced house,1991-2005,2025 cadastral buildings,1515.3,0.0147160795968,177028,2605.15813886,Statbel 2025 cadastral T3.* building counts jointly classified by R1-R3 building type and construction period,Known-period T3.* building counts are rebinned to TABULA periods; the 1982-1991 and 2002-2011 source bins are allocated uniformly across years at the 1990 and 2005 TABULA cut-offs. The resulting age profile is scaled to the region/type 2025 T8 dwelling total.,official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,
Brussels-Capital Region,R1,Terraced house,post-2005,2025 cadastral buildings,1349.2,0.0131029727394,177028,2319.5930581,Statbel 2025 cadastral T3.* building counts jointly classified by R1-R3 building type and construction period,Known-period T3.* building counts are rebinned to TABULA periods; the 1982-1991 and 2002-2011 source bins are allocated uniformly across years at the 1990 and 2005 TABULA cut-offs. The resulting age profile is scaled to the region/type 2025 T8 dwelling total.,official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,
Brussels-Capital Region,R2,Semi-detached house,pre-1946,2025 cadastral buildings,6000,0.385976198134,17227,6649.21196526,Statbel 2025 cadastral T3.* building counts jointly classified by R1-R3 building type and construction period,Known-period T3.* building counts are rebinned to TABULA periods; the 1982-1991 and 2002-2011 source bins are allocated uniformly across years at the 1990 and 2005 TABULA cut-offs. The resulting age profile is scaled to the region/type 2025 T8 dwelling total.,official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,
Brussels-Capital Region,R2,Semi-detached house,1946-1970,2025 cadastral buildings,7024,0.451849469283,17227,7784.01080733,Statbel 2025 cadastral T3.* building counts jointly classified by R1-R3 building type and construction period,Known-period T3.* building counts are rebinned to TABULA periods; the 1982-1991 and 2002-2011 source bins are allocated uniformly across years at the 1990 and 2005 TABULA cut-offs. The resulting age profile is scaled to the region/type 2025 T8 dwelling total.,official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,
Brussels-Capital Region,R2,Semi-detached house,1971-1990,2025 cadastral buildings,1141.1,0.0734062399485,17227,1264.56929559,Statbel 2025 cadastral T3.* building counts jointly classified by R1-R3 building type and construction period,Known-period T3.* building counts are rebinned to TABULA periods; the 1982-1991 and 2002-2011 source bins are allocated uniformly across years at the 1990 and 2005 TABULA cut-offs. The resulting age profile is scaled to the region/type 2025 T8 dwelling total.,official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,
Brussels-Capital Region,R2,Semi-detached house,1991-2005,2025 cadastral buildings,755.9,0.0486265680283,17227,837.689887424,Statbel 2025 cadastral T3.* building counts jointly classified by R1-R3 building type and construction period,Known-period T3.* building counts are rebinned to TABULA periods; the 1982-1991 and 2002-2011 source bins are allocated uniformly across years at the 1990 and 2005 TABULA cut-offs. The resulting age profile is scaled to the region/type 2025 T8 dwelling total.,official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,
Brussels-Capital Region,R2,Semi-detached house,post-2005,2025 cadastral buildings,624,0.040141524606,17227,691.518044387,Statbel 2025 cadastral T3.* building counts jointly classified by R1-R3 building type and construction period,Known-period T3.* building counts are rebinned to TABULA periods; the 1982-1991 and 2002-2011 source bins are allocated uniformly across years at the 1990 and 2005 TABULA cut-offs. The resulting age profile is scaled to the region/type 2025 T8 dwelling total.,official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,
Brussels-Capital Region,R3,Detached house,pre-1946,2025 cadastral buildings,1861,0.318664383562,6208,1978.26849315,Statbel 2025 cadastral T3.* building counts jointly classified by R1-R3 building type and construction period,Known-period T3.* building counts are rebinned to TABULA periods; the 1982-1991 and 2002-2011 source bins are allocated uniformly across years at the 1990 and 2005 TABULA cut-offs. The resulting age profile is scaled to the region/type 2025 T8 dwelling total.,official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,
Brussels-Capital Region,R3,Detached house,1946-1970,2025 cadastral buildings,2508,0.429452054795,6208,2666.03835616,Statbel 2025 cadastral T3.* building counts jointly classified by R1-R3 building type and construction period,Known-period T3.* building counts are rebinned to TABULA periods; the 1982-1991 and 2002-2011 source bins are allocated uniformly across years at the 1990 and 2005 TABULA cut-offs. The resulting age profile is scaled to the region/type 2025 T8 dwelling total.,official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,
Brussels-Capital Region,R3,Detached house,1971-1990,2025 cadastral buildings,811.5,0.138955479452,6208,862.635616438,Statbel 2025 cadastral T3.* building counts jointly classified by R1-R3 building type and construction period,Known-period T3.* building counts are rebinned to TABULA periods; the 1982-1991 and 2002-2011 source bins are allocated uniformly across years at the 1990 and 2005 TABULA cut-offs. The resulting age profile is scaled to the region/type 2025 T8 dwelling total.,official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,
Brussels-Capital Region,R3,Detached house,1991-2005,2025 cadastral buildings,360.9,0.0617979452055,6208,383.641643836,Statbel 2025 cadastral T3.* building counts jointly classified by R1-R3 building type and construction period,Known-period T3.* building counts are rebinned to TABULA periods; the 1982-1991 and 2002-2011 source bins are allocated uniformly across years at the 1990 and 2005 TABULA cut-offs. The resulting age profile is scaled to the region/type 2025 T8 dwelling total.,official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,
Brussels-Capital Region,R3,Detached house,post-2005,2025 cadastral buildings,298.6,0.0511301369863,6208,317.415890411,Statbel 2025 cadastral T3.* building counts jointly classified by R1-R3 building type and construction period,Known-period T3.* building counts are rebinned to TABULA periods; the 1982-1991 and 2002-2011 source bins are allocated uniformly across years at the 1990 and 2005 TABULA cut-offs. The resulting age profile is scaled to the region/type 2025 T8 dwelling total.,official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,
Brussels-Capital Region,R4,"Apartment, enclosed",pre-1946,2021 conventional dwellings in RES2+RES3+,126212.5,0.476596411532,182789.5,87116.8197657,"Statbel Census 2021 HC37 conventional dwellings in residential buildings with 2 or 3+ dwellings, jointly classified by building size and construction period","Occupied and unoccupied HC37 conventional dwellings in RES2 and RES3+ are summed, unknown construction periods are excluded, and the exact HC37 2001-2005/2006-2010 split is retained. The resulting age profile is scaled to the regional 2025 T8 R4 dwelling total and then split 50/50 by apartment position.",official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,"Statbel R4 apartment dwellings are split 50/50 between Apartment, enclosed and Apartment, exposed because apartment position is not identified."
Brussels-Capital Region,R4,"Apartment, enclosed",1946-1970,2021 conventional dwellings in RES2+RES3+,64143.5,0.24221500979,182789.5,44274.3605319,"Statbel Census 2021 HC37 conventional dwellings in residential buildings with 2 or 3+ dwellings, jointly classified by building size and construction period","Occupied and unoccupied HC37 conventional dwellings in RES2 and RES3+ are summed, unknown construction periods are excluded, and the exact HC37 2001-2005/2006-2010 split is retained. The resulting age profile is scaled to the regional 2025 T8 R4 dwelling total and then split 50/50 by apartment position.",official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,"Statbel R4 apartment dwellings are split 50/50 between Apartment, enclosed and Apartment, exposed because apartment position is not identified."
Brussels-Capital Region,R4,"Apartment, enclosed",1971-1990,2021 conventional dwellings in RES2+RES3+,35650.5,0.134621375611,182789.5,24607.3739373,"Statbel Census 2021 HC37 conventional dwellings in residential buildings with 2 or 3+ dwellings, jointly classified by building size and construction period","Occupied and unoccupied HC37 conventional dwellings in RES2 and RES3+ are summed, unknown construction periods are excluded, and the exact HC37 2001-2005/2006-2010 split is retained. The resulting age profile is scaled to the regional 2025 T8 R4 dwelling total and then split 50/50 by apartment position.",official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,"Statbel R4 apartment dwellings are split 50/50 between Apartment, enclosed and Apartment, exposed because apartment position is not identified."
Brussels-Capital Region,R4,"Apartment, enclosed",1991-2005,2021 conventional dwellings in RES2+RES3+,16807.5,0.0634675185645,182789.5,11601.1959846,"Statbel Census 2021 HC37 conventional dwellings in residential buildings with 2 or 3+ dwellings, jointly classified by building size and construction period","Occupied and unoccupied HC37 conventional dwellings in RES2 and RES3+ are summed, unknown construction periods are excluded, and the exact HC37 2001-2005/2006-2010 split is retained. The resulting age profile is scaled to the regional 2025 T8 R4 dwelling total and then split 50/50 by apartment position.",official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,"Statbel R4 apartment dwellings are split 50/50 between Apartment, enclosed and Apartment, exposed because apartment position is not identified."
Brussels-Capital Region,R4,"Apartment, enclosed",post-2005,2021 conventional dwellings in RES2+RES3+,22006.5,0.0830996845033,182789.5,15189.7497805,"Statbel Census 2021 HC37 conventional dwellings in residential buildings with 2 or 3+ dwellings, jointly classified by building size and construction period","Occupied and unoccupied HC37 conventional dwellings in RES2 and RES3+ are summed, unknown construction periods are excluded, and the exact HC37 2001-2005/2006-2010 split is retained. The resulting age profile is scaled to the regional 2025 T8 R4 dwelling total and then split 50/50 by apartment position.",official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,"Statbel R4 apartment dwellings are split 50/50 between Apartment, enclosed and Apartment, exposed because apartment position is not identified."
Brussels-Capital Region,R4,"Apartment, exposed",pre-1946,2021 conventional dwellings in RES2+RES3+,126212.5,0.476596411532,182789.5,87116.8197657,"Statbel Census 2021 HC37 conventional dwellings in residential buildings with 2 or 3+ dwellings, jointly classified by building size and construction period","Occupied and unoccupied HC37 conventional dwellings in RES2 and RES3+ are summed, unknown construction periods are excluded, and the exact HC37 2001-2005/2006-2010 split is retained. The resulting age profile is scaled to the regional 2025 T8 R4 dwelling total and then split 50/50 by apartment position.",official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,"Statbel R4 apartment dwellings are split 50/50 between Apartment, enclosed and Apartment, exposed because apartment position is not identified."
Brussels-Capital Region,R4,"Apartment, exposed",1946-1970,2021 conventional dwellings in RES2+RES3+,64143.5,0.24221500979,182789.5,44274.3605319,"Statbel Census 2021 HC37 conventional dwellings in residential buildings with 2 or 3+ dwellings, jointly classified by building size and construction period","Occupied and unoccupied HC37 conventional dwellings in RES2 and RES3+ are summed, unknown construction periods are excluded, and the exact HC37 2001-2005/2006-2010 split is retained. The resulting age profile is scaled to the regional 2025 T8 R4 dwelling total and then split 50/50 by apartment position.",official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,"Statbel R4 apartment dwellings are split 50/50 between Apartment, enclosed and Apartment, exposed because apartment position is not identified."
Brussels-Capital Region,R4,"Apartment, exposed",1971-1990,2021 conventional dwellings in RES2+RES3+,35650.5,0.134621375611,182789.5,24607.3739373,"Statbel Census 2021 HC37 conventional dwellings in residential buildings with 2 or 3+ dwellings, jointly classified by building size and construction period","Occupied and unoccupied HC37 conventional dwellings in RES2 and RES3+ are summed, unknown construction periods are excluded, and the exact HC37 2001-2005/2006-2010 split is retained. The resulting age profile is scaled to the regional 2025 T8 R4 dwelling total and then split 50/50 by apartment position.",official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,"Statbel R4 apartment dwellings are split 50/50 between Apartment, enclosed and Apartment, exposed because apartment position is not identified."
Brussels-Capital Region,R4,"Apartment, exposed",1991-2005,2021 conventional dwellings in RES2+RES3+,16807.5,0.0634675185645,182789.5,11601.1959846,"Statbel Census 2021 HC37 conventional dwellings in residential buildings with 2 or 3+ dwellings, jointly classified by building size and construction period","Occupied and unoccupied HC37 conventional dwellings in RES2 and RES3+ are summed, unknown construction periods are excluded, and the exact HC37 2001-2005/2006-2010 split is retained. The resulting age profile is scaled to the regional 2025 T8 R4 dwelling total and then split 50/50 by apartment position.",official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,"Statbel R4 apartment dwellings are split 50/50 between Apartment, enclosed and Apartment, exposed because apartment position is not identified."
Brussels-Capital Region,R4,"Apartment, exposed",post-2005,2021 conventional dwellings in RES2+RES3+,22006.5,0.0830996845033,182789.5,15189.7497805,"Statbel Census 2021 HC37 conventional dwellings in residential buildings with 2 or 3+ dwellings, jointly classified by building size and construction period","Occupied and unoccupied HC37 conventional dwellings in RES2 and RES3+ are summed, unknown construction periods are excluded, and the exact HC37 2001-2005/2006-2010 split is retained. The resulting age profile is scaled to the regional 2025 T8 R4 dwelling total and then split 50/50 by apartment position.",official_Statbel_type_by_age_profiles_scaled_to_2025_type_totals,"Statbel R4 apartment dwellings are split 50/50 between Apartment, enclosed and Apartment, exposed because apartment position is not identified."
